name,abbrv,color,coauthored
Ian Utting,I. Utting,#d3d3d3,1
Michael Kölling,M. Kölling,#d3d3d3,1
Stefan Marr,S. Marr,#00bfff,0
Budi Arief,B. Arief,#00bfff,0
Matteo Migliavacca,M. Migliavacca,#00bfff,0
Mark Batty,M. Batty,#00bfff,1
Scott Owens,S. Owens,#00bfff,1
Richard Jones,R. Jones,#d3d3d3,0
Marek Grzes,M. Grzes,#32CD32,0
Colin Johnson,C. Johnson,#ffc0cb,1
Alex Freitas,A. Freitas,#ffc0cb,1
Dominic Orchard,D. Orchard,#00bfff,0
Frank Wang,F. Wang,#00bfff,0
Ian McLoughlin,I. McLoughlin,#d3d3d3,0
David Barnes,D. Barnes,#d3d3d3,0
Andy King,A. King,#ffff00,0
Radu Grigore,R. Grigore,#00bfff,0
Olaf Chitil,O. Chitil,#00bfff,0
Peter Rodgers,P. Rodgers,#ffc0cb,0
Julien Lange,J. Lange,#00bfff,0
Shujun Li,S. Li,#d3d3d3,0
