name,abbrv,color,coauthored
Frans Oliehoek,F. Oliehoek,#32CD32,0
Sven Schewe,S. Schewe,#ffff00,1
Dominik Wojtczak,D. Wojtczak,#32CD32,1
Boris Konev,B. Konev,#32CD32,1
Frank Wolter,F. Wolter,#32CD32,1
Frans Coenen,F. Coenen,#ffc0cb,1
Michael Fisher,M. Fisher,#32CD32,1
Clare Dixon,C. Dixon,#32CD32,1
Danushka Bollegala,D. Bollegala,#32CD32,0
Paul Spirakis,P. Spirakis,#32CD32,1
Leszek Gasieniec,L. Gasieniec,#ffff00,1
Othon Michail,O. Michail,#d3d3d3,1
Igor Potapov,I. Potapov,#ffff00,0
Piotr Krysta,P. Krysta,#ffff00,0
Karl Tuyls,K. Tuyls,#ffc0cb,0
Valentina Tamma,V. Tamma,#32CD32,0
Dariusz Kowalski,D. Kowalski,#ffff00,1
Katie Atkinson,K. Atkinson,#32CD32,1
Paul Dunne,P. Dunne,#32CD32,1
Wiebe van der Hoek,W. van der Hoek,#32CD32,1
Prudence Wong,P. Wong,#ffff00,0
Vitaliy Kurlin,V. Kurlin,#32CD32,0
