name,abbrv,color,coauthored
Bijan Parsia,B. Parsia,#32CD32,1
Ulrike Sattler,U. Sattler,#32CD32,1
Goran Nenadic,G. Nenadic,#ffc0cb,1
Robert Stevens,R. Stevens,#ffc0cb,1
Allan Ramsay,A. Ramsay,#32CD32,0
Sophia Ananiadou,S. Ananiadou,#ffc0cb,1
Riza Batista-Navarro,R. Batista-Navarro,#ffc0cb,1
Steve Pettifer,S. Pettifer,#ffc0cb,1
Terri Attwood,T. Attwood,#ffc0cb,1
Ian Pratt-Hartmann,I. Pratt-Hartmann,#ffff00,0
Caroline Jay,C. Jay,#ffc0cb,1
Markel Vigo,M. Vigo,#ffc0cb,1
Simon Harper,S. Harper,#32CD32,1
Giles Reger,G. Reger,#d3d3d3,0
Javier Navaridas,J. Navaridas,#00bfff,1
Stephen Furber,S. Furber,#ffc0cb,1
Norman Paton,N. Paton,#ffc0cb,0
Rizos Sakellariou,R. Sakellariou,#d3d3d3,0
Renate Schmidt,R. Schmidt,#32CD32,0
Aphrodite Galata,A. Galata,#32CD32,0
Sarah Clinch,S. Clinch,#ffc0cb,0
Gavin Brown,G. Brown,#32CD32,0
Ross King,R. King,#ffc0cb,0
