name,abbrv,color,coauthored
Charalampos Papamanthou,C. Papamanthou,#00bfff,1
Jonathan Katz,J. Katz,#ffff00,1
Douglas Oard,D. Oard,#32CD32,1
Philip Resnik,P. Resnik,#32CD32,1
Zia Khan,Z. Khan,#ffc0cb,0
Ming Lin,M. Lin,#ffc0cb,1
Dinesh Manocha,D. Manocha,#ffc0cb,1
Michael Hicks,M. Hicks,#00bfff,1
Dave Levin,D. Levin,#00bfff,1
Michelle Mazurek,M. Mazurek,#ffc0cb,1
David Van Horn,D. Van Horn,#00bfff,1
Alan Sussman,A. Sussman,#00bfff,1
Adam Porter,A. Porter,#00bfff,1
Atif Memon,A. Memon,#00bfff,1
Peter Keleher,P. Keleher,#00bfff,1
Bobby Bhattacharjee,B. Bhattacharjee,#00bfff,1
Ben Shneiderman,B. Shneiderman,#ffc0cb,1
Neil Spring,N. Spring,#00bfff,1
Jennifer Golbeck,J. Golbeck,#32CD32,1
John Dickerson,J. Dickerson,#32CD32,0
Hal Daumé,H. Daumé,#32CD32,1
Jordan Boyd-Graber,J. Boyd-Graber,#32CD32,1
Yiannis Aloimonos,Y. Aloimonos,#ffc0cb,1
David Jacobs,D. Jacobs,#32CD32,1
Marine Carpuat,M. Carpuat,#32CD32,1
Larry Davis,L. Davis,#32CD32,1
Naomi Feldman,N. Feldman,#32CD32,1
Hanan Samet,H. Samet,#00bfff,1
Tom Goldstein,T. Goldstein,#32CD32,1
Héctor Bravo,H. Bravo,#ffc0cb,1
Amitabh Varshney,A. Varshney,#ffc0cb,0
Furong Huang,F. Huang,#32CD32,0
Mark Leiserson,M. Leiserson,#ffc0cb,0
Abhinav Shrivastava,A. Shrivastava,#32CD32,0
Ashok Agrawala,A. Agrawala,#00bfff,1
A. Shankar,A. Shankar,#00bfff,1
David Mount,D. Mount,#ffff00,0
Rama Chellappa,R. Chellappa,#32CD32,1
Aravind Srinivasan,A. Srinivasan,#ffff00,0
Ramani Duraiswami,R. Duraiswami,#32CD32,1
Amol Deshpande,A. Deshpande,#00bfff,1
Leilani Battle,L. Battle,#00bfff,0
Matthias Zwicker,M. Zwicker,#ffc0cb,0
Samir Khuller,S. Khuller,#ffff00,1
Eytan Ruppin,E. Ruppin,#ffc0cb,0
Jeffrey Hollingsworth,J. Hollingsworth,#00bfff,0
Mohammad Hajiaghayi,M. Hajiaghayi,#ffff00,1
Niklas Elmqvist,N. Elmqvist,#ffc0cb,0
Mihai Pop,M. Pop,#ffc0cb,0
Daniel Abadi,D. Abadi,#00bfff,0
Rance Cleaveland,R. Cleaveland,#d3d3d3,0
Dana Nau,D. Nau,#32CD32,1
V. Subrahmanian,V. Subrahmanian,#32CD32,1
Andrew Childs,A. Childs,#ffff00,0
Donald Perlis,D. Perlis,#32CD32,0
