name,abbrv,color,coauthored
James Allan,J. Allan,#32CD32,1
Ramesh Sitaraman,R. Sitaraman,#00bfff,1
Shlomo Zilberstein,S. Zilberstein,#32CD32,1
Mark Corner,M. Corner,#00bfff,1
Don Towsley,D. Towsley,#00bfff,1
Brian Levine,B. Levine,#00bfff,1
Prashant Shenoy,P. Shenoy,#00bfff,1
Emery Berger,E. Berger,#00bfff,1
Deepak Ganesan,D. Ganesan,#00bfff,1
Michael Zink,M. Zink,#00bfff,1
Arun Venkataramani,A. Venkataramani,#00bfff,1
James Kurose,J. Kurose,#00bfff,1
Gerome Miklau,G. Miklau,#00bfff,1
Andrew McGregor,A. McGregor,#ffff00,1
Andrew McCallum,A. McCallum,#32CD32,1
Alexandra Meliou,A. Meliou,#00bfff,1
Daniel Sheldon,D. Sheldon,#32CD32,1
David Jensen,D. Jensen,#32CD32,1
Benjamin Marlin,B. Marlin,#32CD32,1
J. Moss,J. Moss,#00bfff,1
Erik Learned-Miller,E. Learned-Miller,#32CD32,1
Madalina Fiterau,M. Fiterau,#32CD32,0
Brendan O'Connor,B. O'Connor,#32CD32,0
Narges Mahyar,N. Mahyar,#ffc0cb,0
Rui Wang,R. Wang,#ffc0cb,1
Evangelos Kalogerakis,E. Kalogerakis,#ffc0cb,1
René Just,R. Just,#00bfff,0
David Irwin,D. Irwin,#00bfff,1
Jie Xiong,J. Xiong,#00bfff,0
Phillipa Gill,P. Gill,#00bfff,0
Charles Weems,C. Weems,#d3d3d3,1
Sunghoon Lee,S. Lee,#00bfff,0
Barna Saha,B. Saha,#ffff00,1
Arya Mazumdar,A. Mazumdar,#32CD32,1
Justin Domke,J. Domke,#32CD32,0
Laura Haas,L. Haas,#00bfff,0
Roderic Grupen,R. Grupen,#ffc0cb,1
Neil Immerman,N. Immerman,#00bfff,1
Subhransu Maji,S. Maji,#32CD32,1
George Avrunin,G. Avrunin,#00bfff,0
Marco Serafini,M. Serafini,#00bfff,0
Philip Thomas,P. Thomas,#32CD32,0
Yuriy Brun,Y. Brun,#00bfff,1
Arjun Guha,A. Guha,#00bfff,1
Amir Houmansadr,A. Houmansadr,#00bfff,1
Mohit Iyyer,M. Iyyer,#32CD32,0
Hava Siegelmann,H. Siegelmann,#32CD32,0
Joydeep Biswas,J. Biswas,#ffc0cb,0
Tauhidur Rahman,T. Rahman,#00bfff,0
Peter Haas,P. Haas,#00bfff,0
