name,abbrv,color,coauthored
Trevor Cohn,T. Cohn,#32CD32,1
Steven Bird,S. Bird,#32CD32,1
Timothy Baldwin,T. Baldwin,#32CD32,1
Karin Verspoor,K. Verspoor,#32CD32,1
Shanika Karunasekera,S. Karunasekera,#32CD32,1
Aaron Harwood,A. Harwood,#32CD32,1
Rajkumar Buyya,R. Buyya,#00bfff,1
Rui Zhang,R. Zhang,#00bfff,1
Alistair Moffat,A. Moffat,#32CD32,1
Andrew Turpin,A. Turpin,#32CD32,1
Justin Zobel,J. Zobel,#32CD32,1
Anthony Wirth,A. Wirth,#32CD32,1
Peter Schachte,P. Schachte,#32CD32,1
Peter Stuckey,P. Stuckey,#32CD32,1
Shanton Chang,S. Chang,#ffc0cb,1
Frank Vetere,F. Vetere,#ffc0cb,1
Adrian Pearce,A. Pearce,#32CD32,1
Tim Miller,T. Miller,#32CD32,1
Liz Sonenberg,L. Sonenberg,#32CD32,1
Martin Gibbs,M. Gibbs,#ffc0cb,1
Wally Smith,W. Smith,#ffc0cb,1
James Bailey,J. Bailey,#32CD32,1
Michael Kirley,M. Kirley,#32CD32,1
Toby Murray,T. Murray,#00bfff,0
Harald Søndergaard,H. Søndergaard,#ffff00,1
Lars Kulik,L. Kulik,#ffc0cb,1
Egemen Tanin,E. Tanin,#00bfff,1
Jenny Waycott,J. Waycott,#ffc0cb,1
Jianzhong Qi,J. Qi,#00bfff,1
Jorge Gonçalves,J. Gonçalves,#ffc0cb,1
Vassilis Kostakos,V. Kostakos,#ffc0cb,1
Kotagiri Ramamohanarao,K. Ramamohanarao,#32CD32,1
Jesper Kjeldskov,J. Kjeldskov,#ffc0cb,0
Jan Schröder,J. Schröder,#ffc0cb,0
Nir Lipovetzky,N. Lipovetzky,#32CD32,0
Christopher Leckie,C. Leckie,#32CD32,1
Greg Wadley,G. Wadley,#ffc0cb,1
Eduardo Velloso,E. Velloso,#ffc0cb,1
George Buchanan,G. Buchanan,#ffc0cb,0
