name,abbrv,color,coauthored
Gilles Brassard,G. Brassard,#ffff00,1
Alain Tapp,A. Tapp,#ffff00,1
Louis Salvail,L. Salvail,#ffff00,1
Esma Aïmeur,E. Aïmeur,#32CD32,1
Liam Paull,L. Paull,#ffc0cb,0
Guillaume Rabusseau,G. Rabusseau,#32CD32,0
Houari Sahraoui,H. Sahraoui,#d3d3d3,0
Miklós Csürös,M. Csürös,#ffc0cb,0
Pascal Vincent,P. Vincent,#32CD32,1
Yoshua Bengio,Y. Bengio,#32CD32,1
Christopher Pal,C. Pal,#32CD32,1
Aaron Courville,A. Courville,#32CD32,1
Bernhard Thomaszewski,B. Thomaszewski,#ffc0cb,0
Philippe Langlais,P. Langlais,#32CD32,0
Stefan Monnier,S. Monnier,#d3d3d3,0
Simon Lacoste-Julien,S. Lacoste-Julien,#32CD32,1
François Major,F. Major,#ffc0cb,0
Roland Memisevic,R. Memisevic,#32CD32,1
Jian-Yun Nie,J. Nie,#32CD32,1
Pierre Poulin,P. Poulin,#ffc0cb,0
Pierre McKenzie,P. McKenzie,#ffff00,0
Sébastien Roy,S. Roy,#32CD32,0
Sylvie Hamel,S. Hamel,#00bfff,0
Nadia El-Mabrouk,N. El-Mabrouk,#ffc0cb,0
Max Mignotte,M. Mignotte,#32CD32,0
Ioannis Mitliagkas,I. Mitliagkas,#32CD32,0
