name,abbrv,color,coauthored
Brittany Duncan,B. Duncan,#ffc0cb,0
Leen-Kiat Soh,L. Soh,#32CD32,1
Ashok Samal,A. Samal,#d3d3d3,1
Stephen Cooper,S. Cooper,#d3d3d3,0
ThanhVu Nguyen,T. Nguyen,#00bfff,0
Gregg Rothermel,G. Rothermel,#00bfff,1
Witawas Srisa-an,W. Srisa-an,#00bfff,1
Steve Goddard,S. Goddard,#00bfff,1
Ying Lu,Y. Lu,#00bfff,1
Jitender Deogun,J. Deogun,#d3d3d3,1
Mehmet Vuran,M. Vuran,#00bfff,1
Berthe Choueiry,B. Choueiry,#32CD32,0
Juan Cui,J. Cui,#ffc0cb,0
Sheng Wei,S. Wei,#00bfff,0
Lisong Xu,L. Xu,#d3d3d3,0
Hamid Bagheri,H. Bagheri,#00bfff,0
Carrick Detweiler,C. Detweiler,#ffc0cb,0
Hongfeng Yu,H. Yu,#00bfff,0
