name,abbrv,color,coauthored
Ron Alterovitz,R. Alterovitz,#ffc0cb,1
Jan Prins,J. Prins,#ffc0cb,1
Fabian Monrose,F. Monrose,#00bfff,1
Jan-Michael Frahm,J. Frahm,#32CD32,1
Michael Reiter,M. Reiter,#00bfff,1
Montek Singh,M. Singh,#00bfff,1
Henry Fuchs,H. Fuchs,#ffc0cb,1
Mohit Bansal,M. Bansal,#32CD32,1
Tamara Berg,T. Berg,#32CD32,1
Alexander Berg,A. Berg,#32CD32,1
Prasun Dewan,P. Dewan,#d3d3d3,0
Donald Porter,D. Porter,#00bfff,0
Jack Snoeyink,J. Snoeyink,#ffc0cb,0
Dinggang Shen,D. Shen,#32CD32,0
Cynthia Sturton,C. Sturton,#00bfff,1
Martin Styner,M. Styner,#32CD32,1
Stephen Pizer,S. Pizer,#32CD32,1
J. Marron,J. Marron,#32CD32,1
Marc Niethammer,M. Niethammer,#32CD32,1
Leonard McMillan,L. McMillan,#ffc0cb,1
Ketan Mayer-Patel,K. Mayer-Patel,#d3d3d3,0
Jasleen Kaur,J. Kaur,#32CD32,0
James Anderson,J. Anderson,#00bfff,1
S. Nirjon,S. Nirjon,#00bfff,0
