name,abbrv,color,coauthored
Chaoli Wang,C. Wang,#ffc0cb,0
Peter Kogge,P. Kogge,#00bfff,0
Jarek Nabrzyski,J. Nabrzyski,#00bfff,0
Ronald Metoyer,R. Metoyer,#ffc0cb,0
Michael Niemier,M. Niemier,#00bfff,1
Xiaobo Hu,X. Hu,#00bfff,1
Christian Poellabauer,C. Poellabauer,#00bfff,1
Tim Weninger,T. Weninger,#32CD32,0
Yiyu Shi,Y. Shi,#00bfff,1
Kevin Bowyer,K. Bowyer,#32CD32,1
Nitesh Chawla,N. Chawla,#32CD32,1
Meng Jiang,M. Jiang,#32CD32,0
Douglas Thain,D. Thain,#00bfff,1
Patrick Flynn,P. Flynn,#00bfff,1
Aaron Striegel,A. Striegel,#00bfff,1
Jane Cleland-Huang,J. Cleland-Huang,#00bfff,1
Collin McMillan,C. McMillan,#00bfff,1
Taeho Jung,T. Jung,#00bfff,0
Panos Antsaklis,P. Antsaklis,#ffc0cb,0
Dong Wang,D. Wang,#00bfff,0
David Chiang,D. Chiang,#32CD32,0
Tijana Milenkovic,T. Milenkovic,#ffc0cb,1
Walter Scheirer,W. Scheirer,#32CD32,0
