name,abbrv,color,coauthored
Amiya Nayak,A. Nayak,#d3d3d3,0
Iluju Kiringa,I. Kiringa,#00bfff,1
Yongyi Mao,Y. Mao,#32CD32,1
Jochen Lang,J. Lang,#ffc0cb,0
Thomas Tran,T. Tran,#ffc0cb,0
Robert Laganière,R. Laganière,#32CD32,1
Emil Petriu,E. Petriu,#32CD32,1
Gregor von Bochmann,G. von Bochmann,#32CD32,1
Guy-Vincent Jourdan,G. Jourdan,#32CD32,1
Carlisle Adams,C. Adams,#d3d3d3,0
Verena Kantere,V. Kantere,#00bfff,0
Diana Inkpen,D. Inkpen,#32CD32,0
Paola Flocchini,P. Flocchini,#d3d3d3,0
Pierre Payeur,P. Payeur,#32CD32,0
Marcel Turcotte,M. Turcotte,#ffc0cb,0
Herna Viktor,H. Viktor,#32CD32,0
Stan Szpakowicz,S. Szpakowicz,#32CD32,0
Azzedine Boukerche,A. Boukerche,#d3d3d3,0
Abdulmotaleb El-Saddik,A. El-Saddik,#ffc0cb,0
Vida Dujmovic,V. Dujmovic,#ffff00,0
