name,abbrv,color,coauthored
Vojtech Forejt,V. Forejt,#ffff00,0
Bernardo Grau,B. Grau,#32CD32,1
Ian Horrocks,I. Horrocks,#32CD32,1
Boris Motik,B. Motik,#32CD32,1
Michael Benedikt,M. Benedikt,#ffff00,1
A. Roscoe,A. Roscoe,#ffff00,1
James Worrell,J. Worrell,#ffff00,1
Gavin Lowe,G. Lowe,#ffff00,1
Ivan Martinovic,I. Martinovic,#00bfff,1
Andrew Martin,A. Martin,#00bfff,1
Ivan Flechais,I. Flechais,#00bfff,1
Andrew Simpson,A. Simpson,#00bfff,1
Kasper Rasmussen,K. Rasmussen,#00bfff,1
Marta Kwiatkowska,M. Kwiatkowska,#ffff00,1
Andrew Markham,A. Markham,#00bfff,1
Agathoniki Trigoni,A. Trigoni,#ffc0cb,1
Shimon Whiteson,S. Whiteson,#32CD32,1
Nando de Freitas,N. de Freitas,#32CD32,1
Sam Staton,S. Staton,#ffff00,0
Alex Rogers,A. Rogers,#32CD32,0
Andrzej Murawski,A. Murawski,#ffff00,1
Stefan Kiefer,S. Kiefer,#ffff00,1
C.-H. Ong,C. Ong,#ffff00,1
Varun Kanade,V. Kanade,#32CD32,0
Daniel Kroening,D. Kroening,#ffff00,1
Alessandro Abate,A. Abate,#ffff00,1
Bob Coecke,B. Coecke,#ffff00,0
Stanislav Zivny,S. Zivny,#32CD32,1
Peter Jeavons,P. Jeavons,#32CD32,1
Stephen Pulman,S. Pulman,#32CD32,0
Michael Wooldridge,M. Wooldridge,#32CD32,1
Edith Elkind,E. Elkind,#32CD32,1
Leslie Goldberg,L. Goldberg,#ffff00,1
Paul Goldberg,P. Goldberg,#32CD32,1
Georg Gottlob,G. Gottlob,#32CD32,1
Jeremy Gibbons,J. Gibbons,#00bfff,0
Phil Blunsom,P. Blunsom,#32CD32,1
Yarin Gal,Y. Gal,#32CD32,1
Andrew Ker,A. Ker,#32CD32,1
Rahul Santhanam,R. Santhanam,#ffff00,0
Nigel Shadbolt,N. Shadbolt,#ffc0cb,1
Max Van Kleek,M. Van Kleek,#ffc0cb,1
Dan Olteanu,D. Olteanu,#00bfff,1
Stephen Cameron,S. Cameron,#ffc0cb,0
Thomas Lukasiewicz,T. Lukasiewicz,#32CD32,1
Geraint Jones,G. Jones,#ffc0cb,0
Samson Abramsky,S. Abramsky,#ffff00,1
Anthony Lin,A. Lin,#ffff00,1
Elias Koutsoupias,E. Koutsoupias,#ffff00,0
Nicholas Lane,N. Lane,#00bfff,0
Milos Nikolic,M. Nikolic,#00bfff,0
Marina Jirotka,M. Jirotka,#ffc0cb,0
Jim Davies,J. Davies,#ffc0cb,0
