name,abbrv,color,coauthored
Andre Scedrov,A. Scedrov,#ffff00,0
Vijay Kumar,V. Kumar,#ffc0cb,1
George Pappas,G. Pappas,#ffc0cb,1
Insup Lee,I. Lee,#00bfff,1
Camillo Taylor,C. Taylor,#ffc0cb,1
Kostas Daniilidis,K. Daniilidis,#32CD32,1
Vincent Liu,V. Liu,#00bfff,0
Nadia Heninger,N. Heninger,#00bfff,0
Michael Kearns,M. Kearns,#32CD32,1
Aaron Roth,A. Roth,#ffff00,1
Sanjeev Khanna,S. Khanna,#ffff00,1
Rakesh Vohra,R. Vohra,#ffff00,1
Sampath Kannan,S. Kannan,#ffff00,1
Steve Zdancewic,S. Zdancewic,#00bfff,1
Stephanie Weirich,S. Weirich,#00bfff,1
Benjamin Pierce,B. Pierce,#00bfff,1
Mark Liberman,M. Liberman,#32CD32,1
Lyle Ungar,L. Ungar,#32CD32,1
Boon Loo,B. Loo,#00bfff,1
Zachary Ives,Z. Ives,#00bfff,1
Andreas Haeberlen,A. Haeberlen,#00bfff,1
Matt Blaze,M. Blaze,#00bfff,1
Rajeev Alur,R. Alur,#ffff00,1
Chenfanfu Jiang,C. Jiang,#ffc0cb,0
Susan Davidson,S. Davidson,#00bfff,1
Val Tannen,V. Tannen,#00bfff,1
Seyed Hassani,S. Hassani,#32CD32,0
Li-San Wang,L. Wang,#ffc0cb,1
Mitchell Marcus,M. Marcus,#32CD32,1
Alexander Rakhlin,A. Rakhlin,#32CD32,0
Linh Phan,L. Phan,#00bfff,1
Rahul Mangharam,R. Mangharam,#00bfff,1
Mayur Naik,M. Naik,#00bfff,0
Jianbo Shi,J. Shi,#32CD32,1
Sudipto Guha,S. Guha,#ffff00,1
Joseph Devietti,J. Devietti,#00bfff,1
James Gee,J. Gee,#32CD32,0
Ani Nenkova,A. Nenkova,#32CD32,1
Shivani Agarwal,S. Agarwal,#32CD32,0
André DeHon,A. DeHon,#00bfff,1
Chris Callison-Burch,C. Callison-Burch,#32CD32,0
Jean Gallier,J. Gallier,#32CD32,1
Sebastian Angel,S. Angel,#00bfff,0
Daniel Koditschek,D. Koditschek,#ffc0cb,0
Norman Badler,N. Badler,#ffc0cb,0
Dan Roth,D. Roth,#32CD32,0
