name,abbrv,color,coauthored
Maria Simi,M. Simi,#32CD32,1
Giuseppe Attardi,G. Attardi,#32CD32,1
Roberto Grossi,R. Grossi,#ffff00,1
Andrea Marino,A. Marino,#ffc0cb,1
Nadia Pisanti,N. Pisanti,#ffc0cb,1
Paolo Ferragina,P. Ferragina,#32CD32,1
Mauro Passacantando,M. Passacantando,#32CD32,0
Ugo Montanari,U. Montanari,#ffff00,0
Fabio Gadducci,F. Gadducci,#ffff00,1
Andrea Corradini,A. Corradini,#ffff00,1
Antonio Frangioni,A. Frangioni,#ffff00,1
Rossano Venturini,R. Venturini,#32CD32,1
Laura Ricci,L. Ricci,#00bfff,0
Giorgio Ghelli,G. Ghelli,#00bfff,0
Giovanna Rosone,G. Rosone,#ffc0cb,0
Fabrizio Luccio,F. Luccio,#32CD32,1
Linda Pagli,L. Pagli,#d3d3d3,1
Roberta Gori,R. Gori,#32CD32,0
Salvatore Ruggieri,S. Ruggieri,#32CD32,1
Franco Turini,F. Turini,#32CD32,1
Dino Pedreschi,D. Pedreschi,#32CD32,1
Marco Danelutto,M. Danelutto,#d3d3d3,0
Anna Monreale,A. Monreale,#32CD32,1
