name,abbrv,color,coauthored
Daniel Angus,D. Angus,#ffc0cb,1
Janet Wiles,J. Wiles,#ffc0cb,1
Stephen Viller,S. Viller,#ffc0cb,0
Xiaofang Zhou,X. Zhou,#00bfff,1
Shazia Sadiq,S. Sadiq,#00bfff,1
Heng Shen,H. Shen,#00bfff,1
Zi Huang,Z. Huang,#00bfff,1
Larissa Meinicke,L. Meinicke,#ffff00,0
Michael Brünig,M. Brünig,#ffc0cb,0
Mohamed Sharaf,M. Sharaf,#00bfff,0
Neil Bergmann,N. Bergmann,#d3d3d3,0
Surya Singh,S. Singh,#ffc0cb,1
Hanna Kurniawati,H. Kurniawati,#ffc0cb,1
Paul Pounds,P. Pounds,#ffc0cb,1
Xue Li,X. Li,#ffc0cb,0
Brian Lovell,B. Lovell,#32CD32,0
