name,abbrv,color,coauthored
Roberto Tagliaferri,R. Tagliaferri,#ffc0cb,0
Andrea De Lucia,A. De Lucia,#00bfff,1
Genny Tortora,G. Tortora,#d3d3d3,1
Filomena Ferrucci,F. Ferrucci,#00bfff,1
Carmine Gravino,C. Gravino,#32CD32,1
Vincenzo Auletta,V. Auletta,#32CD32,1
Giuseppe Persiano,G. Persiano,#ffff00,1
Diodato Ferraioli,D. Ferraioli,#32CD32,1
Salvatore La Torre,S. La Torre,#ffff00,0
Barbara Masucci,B. Masucci,#00bfff,1
Alfredo De Santis,A. De Santis,#00bfff,1
Francesco Palmieri,F. Palmieri,#32CD32,1
Bruno Carpentieri,B. Carpentieri,#d3d3d3,1
Ivan Visconti,I. Visconti,#ffff00,1
Pasquale Foggia,P. Foggia,#32CD32,1
Mario Vento,M. Vento,#32CD32,1
Vittorio Fuccella,V. Fuccella,#ffc0cb,0
Gianluca De Marco,G. De Marco,#ffff00,0
Vittorio Scarano,V. Scarano,#d3d3d3,1
Luisa Gargano,L. Gargano,#d3d3d3,1
Alberto Negro,A. Negro,#d3d3d3,1
