name,abbrv,color,coauthored
Hans-Joachim Wunderlich,H. Wunderlich,#00bfff,0
Kurt Rothermel,K. Rothermel,#00bfff,0
Frank Leymann,F. Leymann,#32CD32,0
Ngoc Vu,N. Vu,#32CD32,0
Daniel Weiskopf,D. Weiskopf,#ffc0cb,1
Thomas Ertl,T. Ertl,#ffc0cb,1
Jonas Kuhn,J. Kuhn,#32CD32,0
Bernhard Mitschang,B. Mitschang,#00bfff,0
Stefan Wagner,S. Wagner,#00bfff,0
Melanie Herschel,M. Herschel,#00bfff,0
Sebastian Padó,S. Padó,#32CD32,0
Miriam Mehl,M. Mehl,#00bfff,0
Ralf Küsters,R. Küsters,#00bfff,0
Ilia Polian,I. Polian,#00bfff,0
Andreas Bulling,A. Bulling,#ffc0cb,0
Marc Toussaint,M. Toussaint,#ffc0cb,0
Niels Henze,N. Henze,#ffc0cb,0
Steffen Becker,S. Becker,#00bfff,0
Stefan Funke,S. Funke,#32CD32,0
Andrés Bruhn,A. Bruhn,#32CD32,0
