name,abbrv,color,coauthored
Albert Zomaya,A. Zomaya,#00bfff,1
Bing Zhou,B. Zhou,#00bfff,1
Anusha Withana,A. Withana,#ffc0cb,0
Judy Kay,J. Kay,#ffc0cb,1
Irena Koprinska,I. Koprinska,#32CD32,1
Kalina Yacef,K. Yacef,#32CD32,1
Uwe Röhm,U. Röhm,#00bfff,1
Alan Fekete,A. Fekete,#00bfff,1
Bernhard Scholz,B. Scholz,#00bfff,0
Vincent Gramoli,V. Gramoli,#00bfff,0
James Curran,J. Curran,#32CD32,1
Willy Zwaenepoel,W. Zwaenepoel,#00bfff,0
Fabio Ramos,F. Ramos,#ffc0cb,1
Sanjay Chawla,S. Chawla,#32CD32,1
Suranga Seneviratne,S. Seneviratne,#00bfff,0
David Feng,D. Feng,#ffc0cb,1
Tom Cai,T. Cai,#32CD32,1
David Feng,D. Feng,#32CD32,1
David Lowe,D. Lowe,#32CD32,0
Zhiyong Wang,Z. Wang,#ffc0cb,0
Dacheng Tao,D. Tao,#32CD32,0
Masahiro Takatsuka,M. Takatsuka,#ffc0cb,0
Ralph Holz,R. Holz,#00bfff,0
Seok-Hee Hong,S. Hong,#ffc0cb,0
Joachim Gudmundsson,J. Gudmundsson,#32CD32,1
Julián Mestre,J. Mestre,#32CD32,1
