name,abbrv,color,coauthored
Fillia Makedon,F. Makedon,#32CD32,0
Christoph Csallner,C. Csallner,#00bfff,0
Hong Jiang,H. Jiang,#00bfff,0
Jia Rao,J. Rao,#00bfff,0
Vassilis Athitsos,V. Athitsos,#32CD32,0
Gautam Das,G. Das,#00bfff,1
Chengkai Li,C. Li,#00bfff,1
Yu Lei,Y. Lei,#32CD32,1
Chris Ding,C. Ding,#32CD32,1
Song Jiang,S. Jiang,#00bfff,0
Farhad Kamangar,F. Kamangar,#32CD32,1
Jiang Ming,J. Ming,#00bfff,0
Jean Gao,J. Gao,#32CD32,1
Sharma Chakravarthy,S. Chakravarthy,#d3d3d3,1
Leonidas Fegaras,L. Fegaras,#d3d3d3,0
Manfred Huber,M. Huber,#ffc0cb,0
Junzhou Huang,J. Huang,#32CD32,0
Ishfaq Ahmad,I. Ahmad,#d3d3d3,0
