name,abbrv,color,coauthored
E. Emerson,E. Emerson,#d3d3d3,0
C. Plaxton,C. Plaxton,#d3d3d3,0
Yin Zhang,Y. Zhang,#00bfff,1
Lili Qiu,L. Qiu,#00bfff,1
Inderjit Dhillon,I. Dhillon,#32CD32,1
Don Batory,D. Batory,#00bfff,1
Robert van de Geijn,R. van de Geijn,#00bfff,1
William Cook,W. Cook,#00bfff,1
Simon Lam,S. Lam,#00bfff,1
Bruce Porter,B. Porter,#32CD32,0
Calvin Lin,C. Lin,#00bfff,1
Isil Dillig,I. Dillig,#00bfff,1
Donald Fussell,D. Fussell,#00bfff,1
Mohamed Gouda,M. Gouda,#d3d3d3,0
Scott Niekum,S. Niekum,#ffc0cb,1
Peter Stone,P. Stone,#32CD32,1
Thomas Dillig,T. Dillig,#00bfff,1
Warren Hunt,W. Hunt,#ffff00,0
Risto Miikkulainen,R. Miikkulainen,#32CD32,1
Raymond Mooney,R. Mooney,#32CD32,1
Emmett Witchel,E. Witchel,#00bfff,1
Eric Price,E. Price,#ffff00,1
David Zuckerman,D. Zuckerman,#ffff00,1
Adam Klivans,A. Klivans,#ffff00,1
Philipp Krähenbühl,P. Krähenbühl,#32CD32,1
Qi-Xing Huang,Q. Huang,#ffc0cb,1
Chandrajit Bajaj,C. Bajaj,#ffc0cb,1
Vladimir Lifschitz,V. Lifschitz,#32CD32,0
Greg Durrett,G. Durrett,#32CD32,0
Keshav Pingali,K. Pingali,#00bfff,1
Alexandros Dimakis,A. Dimakis,#32CD32,1
Aloysius Mok,A. Mok,#00bfff,1
Kristen Grauman,K. Grauman,#32CD32,1
Hovav Shacham,H. Shacham,#00bfff,1
Brent Waters,B. Waters,#ffff00,1
Scott Aaronson,S. Aaronson,#ffff00,0
Vijay Chidambaram,V. Chidambaram,#00bfff,0
Daniel Miranker,D. Miranker,#ffc0cb,0
Anna Gál,A. Gál,#ffff00,0
Simon Peter,S. Peter,#00bfff,1
Christopher Rossbach,C. Rossbach,#00bfff,1
Dana Ballard,D. Ballard,#32CD32,0
Dana Moshkovitz,D. Moshkovitz,#ffff00,0
Etienne Vouga,E. Vouga,#ffc0cb,1
Vijaya Ramachandran,V. Ramachandran,#ffff00,0
