name,abbrv,color,coauthored
Zygmunt Haas,Z. Haas,#00bfff,0
Murat Kantarcioglu,M. Kantarcioglu,#00bfff,1
Latifur Khan,L. Khan,#32CD32,1
Bhavani Thuraisingham,B. Thuraisingham,#32CD32,1
Weili Wu,W. Wu,#ffff00,1
Ding-Zhu Du,D. Du,#ffff00,1
Kyle Fox,K. Fox,#ffff00,0
Shuang Hao,S. Hao,#00bfff,0
Kamil Saraç,K. Saraç,#00bfff,0
Xiaohu Guo,X. Guo,#ffc0cb,1
B. Prabhakaran,B. Prabhakaran,#ffc0cb,1
Alvaro Cárdenas,A. Cárdenas,#00bfff,0
Kevin Hamlen,K. Hamlen,#00bfff,0
I-Ling Yen,I. Yen,#32CD32,1
Farokh Bastani,F. Bastani,#32CD32,1
Vincent Ng,V. Ng,#32CD32,1
Dan Moldovan,D. Moldovan,#32CD32,0
Neeraj Mittal,N. Mittal,#d3d3d3,0
Benjamin Raichel,B. Raichel,#ffff00,1
Nicholas Ruozzi,N. Ruozzi,#32CD32,1
S. Venkatesan,S. Venkatesan,#00bfff,0
Sanda Harabagiu,S. Harabagiu,#32CD32,0
Shiyi Wei,S. Wei,#00bfff,0
Cong 0005,C. 0005,#00bfff,0
Yvo Desmedt,Y. Desmedt,#ffff00,0
Vibhav Gogate,V. Gogate,#32CD32,1
Paul Fishwick,P. Fishwick,#ffc0cb,0
Wei 0013,W. 0013,#00bfff,0
Kang Zhang,K. Zhang,#32CD32,0
Sriraam Natarajan,S. Natarajan,#32CD32,0
Tien Nguyen,T. Nguyen,#00bfff,0
Sergey Bereg,S. Bereg,#ffc0cb,0
Yang Liu,Y. Liu,#32CD32,0
Haim Schweitzer,H. Schweitzer,#32CD32,0
Kendra Cooper,K. Cooper,#d3d3d3,0
Lingming Zhang,L. Zhang,#00bfff,0
Andrian Marcus,A. Marcus,#00bfff,1
