name,abbrv,color,coauthored
Kay Robbins,K. Robbins,#d3d3d3,0
Abdullah Muzahid,A. Muzahid,#00bfff,1
Tongping Liu,T. Liu,#00bfff,1
Qi Tian,Q. Tian,#32CD32,0
Shouhuai Xu,S. Xu,#d3d3d3,0
Palden Lama,P. Lama,#d3d3d3,0
Ali Tosun,A. Tosun,#00bfff,0
Dakai Zhu,D. Zhu,#00bfff,0
Xiaoyin Wang,X. Wang,#00bfff,1
Jianwei Niu,J. Niu,#00bfff,1
Rocky Slavin,R. Slavin,#00bfff,1
Wei 0054,W. 0054,#00bfff,0
John Quarles,J. Quarles,#ffc0cb,0
Gregory White,G. White,#d3d3d3,0
Murtuza Jadliwala,M. Jadliwala,#ffc0cb,0
Jianhua Ruan,J. Ruan,#ffc0cb,0
Matt Gibson,M. Gibson,#ffff00,0
Steven Robbins,S. Robbins,#d3d3d3,0
Michael Gubanov,M. Gubanov,#d3d3d3,0
Rajendra Boppana,R. Boppana,#00bfff,0
