name,abbrv,color,coauthored
Yoshihiro Kawahara,Y. Kawahara,#ffc0cb,1
Ryuma Niiyama,R. Niiyama,#ffc0cb,1
Tatsuya Harada,T. Harada,#ffc0cb,1
Yasuo Kuniyoshi,Y. Kuniyoshi,#ffc0cb,1
Yoshitaka Ushiku,Y. Ushiku,#32CD32,1
Hideki Nakayama,H. Nakayama,#ffc0cb,1
Hiroshi Esaki,H. Esaki,#00bfff,0
Masashi Sugiyama,M. Sugiyama,#32CD32,1
Masaru Kitsuregawa,M. Kitsuregawa,#32CD32,1
Issei Sato,I. Sato,#32CD32,1
Takeshi Naemura,T. Naemura,#32CD32,0
Akiko Aizawa,A. Aizawa,#32CD32,0
Kaoru Sezaki,K. Sezaki,#d3d3d3,0
Satoru Miyano,S. Miyano,#ffc0cb,1
Seiya Imoto,S. Imoto,#ffc0cb,1
Rui Yamaguchi,R. Yamaguchi,#ffc0cb,1
Yoshimasa Tsuruoka,Y. Tsuruoka,#32CD32,0
Kenji Yamanishi,K. Yamanishi,#32CD32,0
Tomohiro Tanikawa,T. Tanikawa,#ffc0cb,1
Michitaka Hirose,M. Hirose,#ffc0cb,1
Isao Shimoyama,I. Shimoyama,#ffc0cb,1
Tomoyuki Takahata,T. Takahata,#ffc0cb,1
Toshiya Hachisuka,T. Hachisuka,#ffc0cb,0
Junya Honda,J. Honda,#32CD32,1
Hiroshi Nakagawa,H. Nakagawa,#32CD32,1
Noboru Kunihiro,N. Kunihiro,#ffff00,0
Tetsuo Shibuya,T. Shibuya,#ffc0cb,0
Masashi Toyoda,M. Toyoda,#32CD32,1
Kumiko Tanaka-Ishii,K. Tanaka-Ishii,#32CD32,0
Hiroshi Saruwatari,H. Saruwatari,#ffc0cb,0
Shuichi Sakai,S. Sakai,#00bfff,0
Mary Inaba,M. Inaba,#00bfff,0
Kunihiko Sadakane,K. Sadakane,#ffff00,0
Satoru Iwata,S. Iwata,#ffff00,0
Shinpei Kato,S. Kato,#00bfff,0
Ryohei Kanzaki,R. Kanzaki,#ffc0cb,0
Kenichiro Tanaka,K. Tanaka,#32CD32,0
Masami Hagiya,M. Hagiya,#d3d3d3,0
Kiyoharu Aizawa,K. Aizawa,#32CD32,1
Toshihiko Yamasaki,T. Yamasaki,#32CD32,1
Yoichi Sato,Y. Sato,#32CD32,0
Wataru Takano,W. Takano,#ffc0cb,1
Yoshihiko Nakamura,Y. Nakamura,#ffc0cb,1
Hitoshi Iba,H. Iba,#ffc0cb,0
Kazuyuki Aihara,K. Aihara,#ffc0cb,0
Kentaro Shimizu,K. Shimizu,#ffc0cb,0
Kei Okada,K. Okada,#ffc0cb,1
Masayuki Inaba,M. Inaba,#ffc0cb,1
Shinichi Honiden,S. Honiden,#32CD32,0
Kenjiro Taura,K. Taura,#00bfff,0
Shigeru Chiba,S. Chiba,#d3d3d3,0
Masatoshi Ishikawa,M. Ishikawa,#ffc0cb,0
Hiromichi Nagao,H. Nagao,#ffc0cb,0
Takeo Igarashi,T. Igarashi,#ffc0cb,1
