name,abbrv,color,coauthored
Gary Bader,G. Bader,#ffc0cb,0
Sanja Fidler,S. Fidler,#32CD32,1
Richard Zemel,R. Zemel,#32CD32,1
Sven Dickinson,S. Dickinson,#32CD32,1
Jimmy Ba,J. Ba,#32CD32,1
Fahiem Bacchus,F. Bacchus,#32CD32,1
Toniann Pitassi,T. Pitassi,#ffff00,1
Sheila McIlraith,S. McIlraith,#32CD32,1
Nick Koudas,N. Koudas,#00bfff,1
Yashar Ganjali,Y. Ganjali,#32CD32,1
Peter Marbach,P. Marbach,#00bfff,1
Gerald Penn,G. Penn,#32CD32,1
Ravin Balakrishnan,R. Balakrishnan,#ffc0cb,1
Cosmin Munteanu,C. Munteanu,#ffc0cb,1
Ronald Baecker,R. Baecker,#ffc0cb,1
Michael Stumm,M. Stumm,#00bfff,1
Ding Yuan,D. Yuan,#00bfff,1
Michael Molloy,M. Molloy,#ffff00,0
Suzanne Stevenson,S. Stevenson,#32CD32,1
Kiriakos Kutulakos,K. Kutulakos,#32CD32,1
Allan Jepson,A. Jepson,#32CD32,1
Ashvin Goel,A. Goel,#00bfff,1
Angela Brown,A. Brown,#00bfff,1
Eyal de Lara,E. de Lara,#00bfff,1
Cristiana Amza,C. Amza,#00bfff,1
Arvind Gupta,A. Gupta,#32CD32,0
Mark Chignell,M. Chignell,#ffc0cb,1
Alan Moses,A. Moses,#ffc0cb,0
Vassos Hadzilacos,V. Hadzilacos,#d3d3d3,1
Sam Toueg,S. Toueg,#d3d3d3,1
Daniel Wigdor,D. Wigdor,#ffc0cb,1
Fanny Chevalier,F. Chevalier,#ffc0cb,1
Michael Brudno,M. Brudno,#ffc0cb,1
Tovi Grossman,T. Grossman,#ffc0cb,1
Khai Truong,K. Truong,#ffc0cb,1
Karan Singh,K. Singh,#ffc0cb,1
Alán Aspuru-Guzik,A. Aspuru-Guzik,#32CD32,1
David Duvenaud,D. Duvenaud,#32CD32,1
Azadeh Farzan,A. Farzan,#ffff00,0
Bogdan Simion,B. Simion,#00bfff,1
Roger Grosse,R. Grosse,#32CD32,1
Brendan Frey,B. Frey,#ffc0cb,1
Daniel Roy,D. Roy,#32CD32,1
Nisarg Shah,N. Shah,#32CD32,0
Sushant Sachdeva,S. Sachdeva,#ffff00,0
Benjamin Rossman,B. Rossman,#ffff00,1
Murat Erdogdu,M. Erdogdu,#32CD32,0
Steve Easterbrook,S. Easterbrook,#00bfff,1
Marsha Chechik,M. Chechik,#00bfff,1
Anthony Bonner,A. Bonner,#32CD32,1
Zhaolei Zhang,Z. Zhang,#ffc0cb,1
Andreas Veneris,A. Veneris,#00bfff,0
Frank Rudzicz,F. Rudzicz,#32CD32,0
Allan Borodin,A. Borodin,#32CD32,0
Faith Ellen,F. Ellen,#ffff00,1
Alec Jacobson,A. Jacobson,#ffc0cb,0
Syed Ahmed,S. Ahmed,#ffc0cb,0
Diane Horton,D. Horton,#d3d3d3,1
Michelle Craig,M. Craig,#d3d3d3,1
Jennifer Campbell,J. Campbell,#d3d3d3,1
Paul Gries,P. Gries,#d3d3d3,1
Baochun Li,B. Li,#00bfff,0
Anna Goldenberg,A. Goldenberg,#ffc0cb,1
Maryam Dehnavi,M. Dehnavi,#00bfff,0
Fan Long,F. Long,#00bfff,0
Eugene Fiume,E. Fiume,#ffc0cb,1
Aleksandar Nikolov,A. Nikolov,#ffff00,0
Quaid Morris,Q. Morris,#ffc0cb,1
Frederick Roth,F. Roth,#ffc0cb,0
Henry Yuen,H. Yuen,#ffff00,0
Bianca Schroeder,B. Schroeder,#00bfff,0
David Levin,D. Levin,#ffc0cb,0
Gennady Pekhimenko,G. Pekhimenko,#00bfff,0
David Lie,D. Lie,#00bfff,1
J. Beck,J. Beck,#32CD32,1
Graeme Hirst,G. Hirst,#32CD32,0
Tarek Abdelrahman,T. Abdelrahman,#00bfff,0
Marzyeh Ghassemi,M. Ghassemi,#32CD32,0
Michael Grüninger,M. Grüninger,#32CD32,0
David Fleet,D. Fleet,#32CD32,0
Mark Fox,M. Fox,#32CD32,0
Derek Corneil,D. Corneil,#ffc0cb,0
Ashton Anderson,A. Anderson,#32CD32,0
