name,abbrv,color,coauthored
P. Fletcher,P. Fletcher,#32CD32,1
Suresh Venkatasubramanian,S. Venkatasubramanian,#32CD32,1
Ross Whitaker,R. Whitaker,#ffc0cb,1
Valerio Pascucci,V. Pascucci,#ffc0cb,1
Bei Wang,B. Wang,#ffc0cb,1
Charles Hansen,C. Hansen,#ffc0cb,1
Robert Kirby,R. Kirby,#ffc0cb,1
Elaine Cohen,E. Cohen,#ffc0cb,1
Miriah Meyer,M. Meyer,#ffc0cb,1
Ganesh Gopalakrishnan,G. Gopalakrishnan,#00bfff,1
Ellen Riloff,E. Riloff,#32CD32,0
Tamara Denning,T. Denning,#ffc0cb,0
Vivek Srikumar,V. Srikumar,#32CD32,1
Feifei Li,F. Li,#00bfff,1
Rajeev Balasubramonian,R. Balasubramonian,#00bfff,1
Kenneth Stevens,K. Stevens,#00bfff,0
John Hollerbach,J. Hollerbach,#ffc0cb,0
Mary Hall,M. Hall,#00bfff,0
Thomas Schmid,T. Schmid,#00bfff,0
Christopher Johnson,C. Johnson,#ffc0cb,0
Jur van den Berg,J. van den Berg,#ffc0cb,0
Ryan Stutsman,R. Stutsman,#00bfff,0
Erik Brunvand,E. Brunvand,#d3d3d3,0
Zvonimir Rakamaric,Z. Rakamaric,#ffff00,1
Hari Sundar,H. Sundar,#00bfff,0
Al Davis,A. Davis,#00bfff,1
Cem Yuksel,C. Yuksel,#ffc0cb,0
Jeff Phillips,J. Phillips,#00bfff,1
Alexander Lex,A. Lex,#ffc0cb,0
Martin Berzins,M. Berzins,#00bfff,0
Richard Riesenfeld,R. Riesenfeld,#ffc0cb,0
Aditya Bhaskara,A. Bhaskara,#ffff00,0
Ladislav Kavan,L. Kavan,#ffc0cb,0
Nazm Bojnordi,N. Bojnordi,#00bfff,0
Tolga Tasdizen,T. Tasdizen,#32CD32,1
John Regehr,J. Regehr,#00bfff,0
Matthew Flatt,M. Flatt,#00bfff,0
Jacobus van der Merwe,J. van der Merwe,#00bfff,0
Jason Wiese,J. Wiese,#ffc0cb,0
Srikumar Ramalingam,S. Ramalingam,#32CD32,0
Sneha Kasera,S. Kasera,#00bfff,0
Tucker Hermans,T. Hermans,#ffc0cb,0
