name,abbrv,color,coauthored
Venkatesh Srinivasan,V. Srinivasan,#00bfff,1
Alex Thomo,A. Thomo,#00bfff,1
Kwang Yi,K. Yi,#32CD32,0
Bruce Kapron,B. Kapron,#ffff00,1
Valerie King,V. King,#ffff00,1
Yvonne Coady,Y. Coady,#d3d3d3,0
Daniela Damian,D. Damian,#00bfff,1
Daniel Germán,D. Germán,#00bfff,1
Wendy Myrvold,W. Myrvold,#ffff00,0
Fanxin Kong,F. Kong,#00bfff,0
Andrea Tagliasacchi,A. Tagliasacchi,#ffc0cb,1
Brian Wyvill,B. Wyvill,#ffc0cb,1
Margaret-Anne Storey,M. Storey,#00bfff,1
Neil Ernst,N. Ernst,#00bfff,0
Nishant Mehta,N. Mehta,#32CD32,0
