name,abbrv,color,coauthored
Alfred Weaver,A. Weaver,#d3d3d3,0
Yonghwi Kwon,Y. Kwon,#00bfff,0
Lu Feng,L. Feng,#ffc0cb,0
Haifeng Xu,H. Xu,#32CD32,0
Yuan Tian,Y. Tian,#00bfff,0
Matthew Dwyer,M. Dwyer,#00bfff,1
Sebastian Elbaum,S. Elbaum,#00bfff,1
Bradford Campbell,B. Campbell,#00bfff,0
Hongning Wang,H. Wang,#32CD32,0
Aaron Bloomfield,A. Bloomfield,#ffc0cb,0
Yangfeng Ji,Y. Ji,#32CD32,0
Farzad Farnoud,F. Farnoud,#ffc0cb,0
Jack Davidson,J. Davidson,#00bfff,1
Mary Soffa,M. Soffa,#00bfff,1
Madhur Behl,M. Behl,#00bfff,0
Haiying Shen,H. Shen,#d3d3d3,1
John Stankovic,J. Stankovic,#00bfff,1
Mohammad Mahmoody,M. Mahmoody,#ffff00,0
Vicente Ordonez,V. Ordonez,#32CD32,0
David Evans,D. Evans,#00bfff,1
Yanjun Qi,Y. Qi,#ffc0cb,1
Gabriel Robins,G. Robins,#ffc0cb,1
Kevin Skadron,K. Skadron,#00bfff,1
Kamin Whitehouse,K. Whitehouse,#00bfff,1
Samira Khan,S. Khan,#00bfff,0
Aidong Zhang,A. Zhang,#32CD32,0
David Wu,D. Wu,#ffff00,0
Ashish Venkat,A. Venkat,#00bfff,0
James Cohoon,J. Cohoon,#d3d3d3,0
Marty Humphrey,M. Humphrey,#00bfff,0
Connelly Barnes,C. Barnes,#ffc0cb,0
Yuan Tian,Y. Tian,#32CD32,0
