name,abbrv,color,coauthored
Krzysztof Apt,K. Apt,#32CD32,1
Eryk Kopczynski,E. Kopczynski,#ffff00,1
Wojciech Rytter,W. Rytter,#ffff00,1
Tomasz Walen,T. Walen,#ffff00,1
Jakub Radoszewski,J. Radoszewski,#ffff00,1
Anna Zych,A. Zych,#ffff00,1
Piotr Sankowski,P. Sankowski,#ffff00,1
Marcin Pilipczuk,M. Pilipczuk,#ffff00,1
Lorenzo Clemente,L. Clemente,#ffff00,1
Slawomir Lasota,S. Lasota,#ffff00,1
Pawel Parys,P. Parys,#ffff00,1
Mikolaj Bojanczyk,M. Bojanczyk,#ffff00,1
Wojciech Czerwinski,W. Czerwinski,#ffff00,1
Bartek Klin,B. Klin,#ffff00,1
Szymon Torunczyk,S. Torunczyk,#ffff00,1
Marek Cygan,M. Cygan,#ffff00,1
Michal Pilipczuk,M. Pilipczuk,#ffff00,1
Marcin Mucha,M. Mucha,#ffff00,1
Filip Murlak,F. Murlak,#ffff00,1
Michal Skrzypczak,M. Skrzypczak,#ffff00,1
Tomasz Kazana,T. Kazana,#ffff00,1
Stefan Dziembowski,S. Dziembowski,#ffff00,1
Dominik Slezak,D. Slezak,#00bfff,0
Lukasz Kowalik,L. Kowalik,#32CD32,1
Oskar Skibski,O. Skibski,#32CD32,1
Tomasz Michalak,T. Michalak,#32CD32,1
Miroslaw Kowaluk,M. Kowaluk,#ffff00,0
Marcin Kaminski,M. Kaminski,#ffff00,0
Wojciech Plandowski,W. Plandowski,#ffff00,0
Krzysztof Stencel,K. Stencel,#d3d3d3,0
Jerzy Tyszkiewicz,J. Tyszkiewicz,#00bfff,0
Jacek Sroka,J. Sroka,#32CD32,1
Konrad Iwanicki,K. Iwanicki,#d3d3d3,0
Krzysztof Rzadca,K. Rzadca,#d3d3d3,0
Barbara Dunin-Keplicz,B. Dunin-Keplicz,#32CD32,0
