name,abbrv,color,coauthored
Naomi Nishimura,N. Nishimura,#ffff00,0
Jimmy Lin,J. Lin,#32CD32,1
Gordon Cormack,G. Cormack,#32CD32,1
Charles Clarke,C. Clarke,#32CD32,1
Krzysztof Czarnecki,K. Czarnecki,#00bfff,1
Eric Blais,E. Blais,#ffff00,1
Joanne Atlee,J. Atlee,#00bfff,1
Derek Rayside,D. Rayside,#00bfff,1
Vijay Ganesh,V. Ganesh,#00bfff,1
Pascal Poupart,P. Poupart,#32CD32,1
Nancy Day,N. Day,#00bfff,0
Gautam Kamath,G. Kamath,#32CD32,0
Daniel Vogel,D. Vogel,#ffc0cb,1
Urs Hengartner,U. Hengartner,#00bfff,1
Edward Lank,E. Lank,#ffc0cb,1
Shai Ben-David,S. Ben-David,#32CD32,1
Ihab Ilyas,I. Ilyas,#00bfff,1
M. Özsu,M. Özsu,#00bfff,1
Kenneth Salem,K. Salem,#00bfff,1
Grant Weddell,G. Weddell,#32CD32,1
Richard Cleve,R. Cleve,#ffff00,0
Srinivasan Keshav,S. Keshav,#00bfff,1
Bernard Wong,B. Wong,#00bfff,1
Tim Brecht,T. Brecht,#00bfff,1
Martin Karsten,M. Karsten,#00bfff,1
David Toman,D. Toman,#32CD32,1
Christopher Batty,C. Batty,#ffc0cb,0
Ming Li,M. Li,#ffc0cb,1
Bin Ma,B. Ma,#ffc0cb,1
Gregor Richards,G. Richards,#00bfff,0
Omid Salehi-Abari,O. Salehi-Abari,#00bfff,0
Florian Kerschbaum,F. Kerschbaum,#00bfff,0
Chengnian Sun,C. Sun,#00bfff,0
Peter van Beek,P. van Beek,#32CD32,1
Jesse Hoey,J. Hoey,#32CD32,1
Yuying Li,Y. Li,#32CD32,1
Robin Cohen,R. Cohen,#32CD32,1
Éric Schost,É. Schost,#ffff00,0
Lin Tan,L. Tan,#00bfff,1
Lila Kari,L. Kari,#ffff00,0
Olga Veksler,O. Veksler,#32CD32,1
Yuri Boykov,Y. Boykov,#32CD32,1
Ian Goldberg,I. Goldberg,#00bfff,1
Michael Godfrey,M. Godfrey,#00bfff,0
Xi He,X. He,#00bfff,0
Craig Kaplan,C. Kaplan,#ffc0cb,1
Stephen Mann,S. Mann,#ffc0cb,1
Yaoliang Yu,Y. Yu,#32CD32,0
Peter Buhr,P. Buhr,#00bfff,1
Werner Dietl,W. Dietl,#00bfff,0
Richard Mann,R. Mann,#ffc0cb,0
John Watrous,J. Watrous,#ffff00,0
Shalev Ben-David,S. Ben-David,#ffff00,0
Samer Al-Kiswany,S. Al-Kiswany,#00bfff,0
Sebastian Fischmeister,S. Fischmeister,#00bfff,0
Lap Lau,L. Lau,#ffff00,0
Sergey Gorbunov,S. Gorbunov,#ffff00,0
Richard Trefler,R. Trefler,#ffff00,0
Anna Lubiw,A. Lubiw,#ffff00,0
Kimon Fountoulakis,K. Fountoulakis,#32CD32,0
Ondrej Lhoták,O. Lhoták,#00bfff,0
Meiyappan Nagappan,M. Nagappan,#00bfff,0
J. Munro,J. Munro,#ffff00,0
Arie Gurfinkel,A. Gurfinkel,#ffff00,0
Lennart Nacke,L. Nacke,#ffc0cb,0
Daniel Berry,D. Berry,#ffc0cb,1
William Cowan,W. Cowan,#ffc0cb,0
Kate Larson,K. Larson,#32CD32,1
Semih Salihoglu,S. Salihoglu,#00bfff,1
Edith Law,E. Law,#ffc0cb,1
Trevor Brown,T. Brown,#00bfff,0
Khuzaima Daudjee,K. Daudjee,#00bfff,1
Ali Mashtizadeh,A. Mashtizadeh,#00bfff,0
Gladimir Baranoski,G. Baranoski,#ffc0cb,0
