name,abbrv,color,coauthored
Jaroslaw Byrka,J. Byrka,#ffff00,1
Marcin Bienkowski,M. Bienkowski,#ffff00,1
Lukasz Jez,L. Jez,#ffff00,1
Dariusz Biernacki,D. Biernacki,#ffff00,1
Malgorzata Biernacka,M. Biernacka,#ffff00,1
Marek Materzok,M. Materzok,#d3d3d3,1
Tomasz Jurdzinski,T. Jurdzinski,#d3d3d3,1
Artur Jez,A. Jez,#ffff00,1
Grzegorz Stachowiak,G. Stachowiak,#ffff00,1
Jan Chorowski,J. Chorowski,#32CD32,0
Piotr Witkowski,P. Witkowski,#ffff00,1
Witold Charatonik,W. Charatonik,#ffff00,1
Tomasz Gogacz,T. Gogacz,#ffff00,1
Jerzy Marcinkowski,J. Marcinkowski,#ffff00,1
Jakub Michaliszyn,J. Michaliszyn,#32CD32,1
Piotr Wieczorek,P. Wieczorek,#32CD32,1
Jan Otop,J. Otop,#ffff00,1
Krzysztof Lorys,K. Lorys,#d3d3d3,1
Maciej Piróg,M. Piróg,#d3d3d3,0
Emanuel Kieronski,E. Kieronski,#ffff00,1
Filip Sieczkowski,F. Sieczkowski,#00bfff,0
Pawel Gawrychowski,P. Gawrychowski,#ffff00,0
