name,abbrv,color,coauthored
Martin Glinz,M. Glinz,#00bfff,0
Burkhard Stiller,B. Stiller,#d3d3d3,0
Renato Pajarola,R. Pajarola,#ffc0cb,0
Thomas Fritz,T. Fritz,#00bfff,1
Harald Gall,H. Gall,#00bfff,1
Elaine Huang,E. Huang,#ffc0cb,1
Davide Scaramuzza,D. Scaramuzza,#ffc0cb,0
Alberto Bacchelli,A. Bacchelli,#00bfff,0
Sven Seuken,S. Seuken,#32CD32,1
Abraham Bernstein,A. Bernstein,#32CD32,1
Chat Wacharamanotham,C. Wacharamanotham,#ffc0cb,0
Michael Böhlen,M. Böhlen,#00bfff,0
Gerhard Schwabe,G. Schwabe,#d3d3d3,0
