name,abbrv,color,coauthored
Antonio Carzaniga,A. Carzaniga,#00bfff,1
Mauro Pezzè,M. Pezzè,#00bfff,1
Carlo Furia,C. Furia,#00bfff,0
Olaf Schenk,O. Schenk,#00bfff,0
Cesare Pautasso,C. Pautasso,#32CD32,0
Paolo Tonella,P. Tonella,#00bfff,1
Cesare Alippi,C. Alippi,#32CD32,0
Fernando Pedone,F. Pedone,#00bfff,0
Laura Pozzi,L. Pozzi,#d3d3d3,0
Michele Lanza,M. Lanza,#00bfff,1
Matthias Hauswirth,M. Hauswirth,#00bfff,1
Nathaniel Nystrom,N. Nystrom,#d3d3d3,1
Gabriele Bavota,G. Bavota,#00bfff,1
Jürgen Schmidhuber,J. Schmidhuber,#32CD32,0
Natasha Sharygina,N. Sharygina,#ffff00,0
Marc Langheinrich,M. Langheinrich,#ffc0cb,0
Walter Binder,W. Binder,#32CD32,0
Michele Parrinello,M. Parrinello,#00bfff,0
Silvia Santini,S. Santini,#ffc0cb,0
Fabio Crestani,F. Crestani,#32CD32,0
Rolf Krause,R. Krause,#00bfff,0
Igor Pivkin,I. Pivkin,#00bfff,0
Kai Hormann,K. Hormann,#ffc0cb,0
