name,abbrv,color,coauthored
Wan Fokkink,W. Fokkink,#ffc0cb,1
K. Feenstra,K. Feenstra,#ffc0cb,1
Jaap Heringa,J. Heringa,#ffc0cb,1
Henri Bal,H. Bal,#00bfff,1
Paul Groth,P. Groth,#32CD32,0
Tibor Bosse,T. Bosse,#32CD32,1
Jan Treur,J. Treur,#32CD32,1
Rob van Nieuwpoort,R. van Nieuwpoort,#00bfff,1
Ivano Malavolta,I. Malavolta,#00bfff,0
Sanne Abeln,S. Abeln,#ffc0cb,1
Andrew Tanenbaum,A. Tanenbaum,#00bfff,1
Cristiano Giuffrida,C. Giuffrida,#00bfff,1
Herbert Bos,H. Bos,#00bfff,1
Michel Klein,M. Klein,#32CD32,1
Stefan Schlobach,S. Schlobach,#32CD32,1
Jörg Endrullis,J. Endrullis,#ffff00,0
Maarten van Steen,M. van Steen,#32CD32,1
Alexandru Iosup,A. Iosup,#00bfff,0
Mark Hoogendoorn,M. Hoogendoorn,#32CD32,1
Jacopo Urbani,J. Urbani,#32CD32,1
Maarten de Rijke,M. de Rijke,#32CD32,0
Frank van Harmelen,F. van Harmelen,#32CD32,0
A. Eiben,A. Eiben,#32CD32,0
