name,abbrv,color,coauthored
Gautam Biswas,G. Biswas,#32CD32,1
Xenofon Koutsoukos,X. Koutsoukos,#00bfff,1
Douglas Schmidt,D. Schmidt,#32CD32,1
Janos Sztipanovits,J. Sztipanovits,#00bfff,1
Ákos Lédeczi,Á. Lédeczi,#00bfff,1
Aniruddha Gokhale,A. Gokhale,#00bfff,1
Daniel Fabbri,D. Fabbri,#00bfff,0
Maithilee Kunda,M. Kunda,#32CD32,0
Gabor Karsai,G. Karsai,#00bfff,1
Bennett Landman,B. Landman,#32CD32,0
Richard Peters,R. Peters,#ffc0cb,1
Bobby Bodenheimer,B. Bodenheimer,#ffc0cb,1
Jules White,J. White,#00bfff,0
Taylor Johnson,T. Johnson,#00bfff,0
Padma Raghavan,P. Raghavan,#00bfff,0
