name,abbrv,color,coauthored
Alex Potanin,A. Potanin,#00bfff,1
James Noble,J. Noble,#00bfff,1
Qiang Fu,Q. Fu,#00bfff,0
Mengjie Zhang,M. Zhang,#32CD32,1
W. Kleijn,W. Kleijn,#32CD32,1
Hui Ma,H. Ma,#00bfff,0
Thomas Kühne,T. Kühne,#d3d3d3,0
John Lewis,J. Lewis,#ffc0cb,1
Taehyun Rhee,T. Rhee,#ffc0cb,1
Marcus Frean,M. Frean,#32CD32,1
Marco Servetto,M. Servetto,#d3d3d3,0
Lindsay Groves,L. Groves,#ffff00,0
Zohar Levi,Z. Levi,#ffc0cb,0
Bing Xue,B. Xue,#00bfff,0
Dale Carnegie,D. Carnegie,#ffc0cb,0
David Pearce,D. Pearce,#d3d3d3,1
Michael Homer,M. Homer,#d3d3d3,1
Stuart Marshall,S. Marshall,#00bfff,1
Marcus Frean,M. Frean,#d3d3d3,1
Peter Andreae,P. Andreae,#32CD32,1
Xiaoying Gao,X. Gao,#32CD32,1
Bryan Ng,B. Ng,#ffc0cb,1
Winston Seah,W. Seah,#ffc0cb,1
Neil Dodgson,N. Dodgson,#ffc0cb,0
Dionysis Athanasopoulos,D. Athanasopoulos,#00bfff,0
Kris Bubendorfer,K. Bubendorfer,#00bfff,0
