name,abbrv,color,coauthored
Changhee Jung,C. Jung,#00bfff,1
Dongyoon Lee,D. Lee,#00bfff,1
Naren Ramakrishnan,N. Ramakrishnan,#32CD32,1
Chang-Tien Lu,C. Lu,#32CD32,1
Anil Vullikanti,A. Vullikanti,#32CD32,1
Chris North,C. North,#ffc0cb,1
Bert Huang,B. Huang,#32CD32,1
B. Prakash,B. Prakash,#32CD32,1
Layne Watson,L. Watson,#ffc0cb,1
Danfeng Yao,D. Yao,#00bfff,1
Godmar Back,G. Back,#00bfff,1
Lenwood Heath,L. Heath,#ffc0cb,1
Calvin Ribbens,C. Ribbens,#00bfff,1
Madhav Marathe,M. Marathe,#00bfff,1
Kirk Cameron,K. Cameron,#00bfff,1
Ali Butt,A. Butt,#00bfff,1
Jin-Hee Cho,J. Cho,#d3d3d3,1
Ing-Ray Chen,I. Chen,#d3d3d3,1
Christopher Barrett,C. Barrett,#32CD32,1
D. McCrickard,D. McCrickard,#ffc0cb,1
Steve Harrison,S. Harrison,#ffc0cb,1
Francisco Servant,F. Servant,#00bfff,0
Yong Cao,Y. Cao,#32CD32,1
Wu-chun Feng,W. Feng,#00bfff,1
R. Sharathkumar,R. Sharathkumar,#ffff00,0
Sang Lee,S. Lee,#ffc0cb,0
Sharath Raghvendra,S. Raghvendra,#ffff00,0
Matthew Hicks,M. Hicks,#00bfff,0
Chandan Reddy,C. Reddy,#32CD32,0
Bimal Viswanath,B. Viswanath,#32CD32,0
Dennis Kafura,D. Kafura,#d3d3d3,1
Clifford Shaffer,C. Shaffer,#ffc0cb,1
Eli Tilevich,E. Tilevich,#00bfff,1
Deborah Tatar,D. Tatar,#ffc0cb,1
Adrian Sandu,A. Sandu,#00bfff,0
Wenjing Lou,W. Lou,#00bfff,0
Xun Jian,X. Jian,#00bfff,0
Gang 0011,G. 0011,#00bfff,1
Barbara Ryder,B. Ryder,#00bfff,0
Aisling Kelliher,A. Kelliher,#ffc0cb,0
T. Murali,T. Murali,#ffc0cb,0
Stephen Edwards,S. Edwards,#d3d3d3,1
Anuj Karpatne,A. Karpatne,#32CD32,0
Jiepu Jiang,J. Jiang,#32CD32,0
Changwoo Min,C. Min,#00bfff,0
Doug Bowman,D. Bowman,#ffc0cb,1
Liqing Zhang,L. Zhang,#32CD32,0
Kurt Luther,K. Luther,#ffc0cb,0
Denis Gracanin,D. Gracanin,#ffc0cb,0
Tanushree Mitra,T. Mitra,#ffc0cb,0
Na Meng,N. Meng,#00bfff,0
