name,abbrv,color,coauthored
Brian Kocoloski,B. Kocoloski,#00bfff,0
Christopher Gill,C. Gill,#00bfff,1
Chenyang Lu,C. Lu,#00bfff,1
Kunal Agrawal,K. Agrawal,#00bfff,1
Roch Guérin,R. Guérin,#00bfff,1
Ron Cytron,R. Cytron,#00bfff,1
Tao Ju,T. Ju,#ffc0cb,0
Aaron Bobick,A. Bobick,#ffc0cb,0
I-Ting Lee,I. Lee,#00bfff,1
Alvitta Ottley,A. Ottley,#ffc0cb,0
William Yeoh,W. Yeoh,#32CD32,0
Sanmay Das,S. Das,#32CD32,1
Brendan Juba,B. Juba,#32CD32,1
Yixin Chen,Y. Chen,#32CD32,1
Weixiong Zhang,W. Zhang,#32CD32,1
Michael Brent,M. Brent,#ffc0cb,1
Ning 0017,N. 0017,#00bfff,0
Roger Chamberlain,R. Chamberlain,#00bfff,1
Jeremy Buhler,J. Buhler,#00bfff,1
Sanjoy Baruah,S. Baruah,#00bfff,0
Ulugbek Kamilov,U. Kamilov,#32CD32,0
Caitlin Kelleher,C. Kelleher,#ffc0cb,0
Roman Garnett,R. Garnett,#32CD32,0
Patrick Crowley,P. Crowley,#00bfff,1
Chien-Ju Ho,C. Ho,#32CD32,0
Ayan Chakrabarti,A. Chakrabarti,#32CD32,0
Miaomiao Zhang,M. Zhang,#32CD32,0
Yevgeniy Vorobeychik,Y. Vorobeychik,#32CD32,0
