name,abbrv,color,coauthored
Shiyong Lu,S. Lu,#32CD32,1
Alexander Kotov,A. Kotov,#32CD32,1
Ming Dong,M. Dong,#ffc0cb,1
Jing Hua,J. Hua,#ffc0cb,1
Zichun Zhong,Z. Zhong,#ffc0cb,1
Weisong Shi,W. Shi,#ffc0cb,1
Monica Brockmeyer,M. Brockmeyer,#ffc0cb,1
Nathan Fisher,N. Fisher,#00bfff,1
Loren Schwiebert,L. Schwiebert,#d3d3d3,1
Sorin Draghici,S. Draghici,#ffc0cb,0
Lihao Xu,L. Xu,#d3d3d3,0
Xue-wen Chen,X. Chen,#ffc0cb,0
Dongxiao Zhu,D. Zhu,#ffc0cb,0
Fengwei Zhang,F. Zhang,#00bfff,0
Abusayeed Saifullah,A. Saifullah,#00bfff,0
Václav Rajlich,V. Rajlich,#00bfff,0
Daniel Grosu,D. Grosu,#d3d3d3,0
