name,abbrv,color,coauthored
David Finkel,D. Finkel,#d3d3d3,0
Candace Sidner,C. Sidner,#ffc0cb,1
Charles Rich,C. Rich,#ffc0cb,1
Craig Wills,C. Wills,#32CD32,0
Dmitry Korkin,D. Korkin,#ffc0cb,0
Gillian Smith,G. Smith,#ffc0cb,0
Daniel Dougherty,D. Dougherty,#00bfff,1
Kathi Fisler,K. Fisler,#00bfff,1
Elke Rundensteiner,E. Rundensteiner,#00bfff,1
Yanhua Li,Y. Li,#00bfff,0
Lane Harrison,L. Harrison,#ffc0cb,0
Jie Fu,J. Fu,#ffc0cb,0
Carlo Pinciroli,C. Pinciroli,#ffc0cb,0
David Brown,D. Brown,#32CD32,1
Carolina Ruiz,C. Ruiz,#32CD32,1
Gregory Fischer,G. Fischer,#ffc0cb,0
Joshua Guttman,J. Guttman,#32CD32,1
Craig Shue,C. Shue,#00bfff,0
Jacob Whitehill,J. Whitehill,#32CD32,0
Gábor Sárközy,G. Sárközy,#00bfff,1
Neil Heffernan,N. Heffernan,#32CD32,0
Mohamed Eltabakh,M. Eltabakh,#00bfff,1
Marko Popovic,M. Popovic,#ffc0cb,0
Xiangnan Kong,X. Kong,#32CD32,0
