name,abbrv,color,coauthored
James Aspnes,J. Aspnes,#ffff00,1
Yang Yang,Y. Yang,#00bfff,1
Dana Angluin,D. Angluin,#32CD32,1
Jakub Szefer,J. Szefer,#00bfff,0
Drew McDermott,D. McDermott,#32CD32,0
Ruzica Piskac,R. Piskac,#ffff00,0
Sahand Negahban,S. Negahban,#32CD32,0
Abhishek Bhattacharjee,A. Bhattacharjee,#00bfff,0
Mariana Raykova,M. Raykova,#ffff00,0
John Lafferty,J. Lafferty,#32CD32,0
Zhong Shao,Z. Shao,#00bfff,0
Marynel Vázquez,M. Vázquez,#ffc0cb,0
Daniel Spielman,D. Spielman,#ffff00,0
Abraham Silberschatz,A. Silberschatz,#00bfff,1
Michael Fischer,M. Fischer,#00bfff,0
Nisheeth Vishnoi,N. Vishnoi,#ffff00,0
Joan Feigenbaum,J. Feigenbaum,#00bfff,0
Yang Cai,Y. Cai,#ffff00,0
Robert Soulé,R. Soulé,#00bfff,0
Mahesh Balakrishnan,M. Balakrishnan,#00bfff,0
Rajit Manohar,R. Manohar,#00bfff,0
Brian Scassellati,B. Scassellati,#ffc0cb,0
Smita Krishnaswamy,S. Krishnaswamy,#00bfff,0
Dragomir Radev,D. Radev,#32CD32,0
Wenjun Hu,W. Hu,#00bfff,0
Holly Rushmeier,H. Rushmeier,#ffc0cb,1
Julie Dorsey,J. Dorsey,#ffc0cb,1
David Gelernter,D. Gelernter,#00bfff,0
Steven Zucker,S. Zucker,#32CD32,0
Amin Karbasi,A. Karbasi,#32CD32,0
Leandros Tassiulas,L. Tassiulas,#00bfff,0
