name,abbrv,color,coauthored
James Smith,J. Smith,#ffc0cb,0
Zbigniew Stachniak,Z. Stachniak,#32CD32,0
Richard Wildes,R. Wildes,#32CD32,0
Eric Ruppert,E. Ruppert,#ffff00,1
Franck van Breugel,F. van Breugel,#d3d3d3,1
Jia Xu,J. Xu,#32CD32,0
Scott MacKenzie,S. MacKenzie,#ffc0cb,0
Petros Faloutsos,P. Faloutsos,#ffc0cb,0
John Tsotsos,J. Tsotsos,#32CD32,0
Michael Brown,M. Brown,#32CD32,0
Patrick Dymond,P. Dymond,#ffc0cb,1
Michael Jenkin,M. Jenkin,#ffc0cb,1
Parke Godfrey,P. Godfrey,#00bfff,1
Jarek Gryz,J. Gryz,#00bfff,1
Aijun An,A. An,#00bfff,1
Marcus Brubaker,M. Brubaker,#32CD32,0
Zhen Jiang,Z. Jiang,#00bfff,0
Hui Jiang,H. Jiang,#32CD32,0
Jeff Edmonds,J. Edmonds,#ffff00,0
