name,abbrv,color,coauthored
Fei Wu,F. Wu,#32CD32,1
Jun Xiao,J. Xiao,#32CD32,1
Yueting Zhuang,Y. Zhuang,#32CD32,1
Siliang Tang,S. Tang,#32CD32,1
Xi Li,X. Li,#32CD32,1
Weiming Lu,W. Lu,#32CD32,1
Xiaofei He,X. He,#32CD32,1
Zhou Zhao,Z. Zhao,#32CD32,1
Min Yao,M. Yao,#32CD32,0
Donghui Wang,D. Wang,#32CD32,1
Jiajun Bu,J. Bu,#32CD32,1
Chun Chen,C. Chen,#32CD32,1
Deng Cai,D. Cai,#32CD32,1
Mingli Song,M. Song,#32CD32,1
Jianke Zhu,J. Zhu,#32CD32,1
Wei Dong,W. Dong,#00bfff,1
Haifeng Liu,H. Liu,#32CD32,1
Kun Zhou,K. Zhou,#ffc0cb,1
Hujun Bao,H. Bao,#ffc0cb,1
Yunjun Gao,Y. Gao,#00bfff,1
Huajun Chen,H. Chen,#32CD32,1
Xiaohong Jiang,X. Jiang,#32CD32,1
Zhaohui Wu,Z. Wu,#32CD32,1
Baogang Wei,B. Wei,#32CD32,1
Yunhe Pan,Y. Pan,#32CD32,1
Congfu Xu,C. Xu,#32CD32,1
Xiang Chen,X. Chen,#ffc0cb,1
Weiwei Xu,W. Xu,#ffc0cb,1
Youyi Zheng,Y. Zheng,#ffc0cb,1
Guofeng Zhang,G. Zhang,#32CD32,1
Jin Huang,J. Huang,#ffc0cb,1
Ke 0005,K. 0005,#32CD32,1
Lidan Shou,L. Shou,#32CD32,1
Gang Chen,G. Chen,#00bfff,1
Sai Wu,S. Wu,#00bfff,1
Yubo Tao,Y. Tao,#ffc0cb,1
Hai Lin,H. Lin,#ffc0cb,1
Zhong Ren,Z. Ren,#ffc0cb,1
Xinguo Liu,X. Liu,#ffc0cb,1
Rui Wang,R. Wang,#ffc0cb,1
Xiaogang Jin,X. Jin,#ffc0cb,1
Wei Chen,W. Chen,#ffc0cb,1
Yajin Zhou,Y. Zhou,#00bfff,0
Hongzhi Wu,H. Wu,#ffc0cb,1
Tianjia Shao,T. Shao,#ffc0cb,1
Yanlin Weng,Y. Weng,#ffc0cb,1
Shouling Ji,S. Ji,#00bfff,0
Yingcai Wu,Y. Wu,#ffc0cb,1
Yi Gao,Y. Gao,#00bfff,1
Dongming Lu,D. Lu,#32CD32,1
Duanqing Xu,D. Xu,#32CD32,1
Qiming Hou,Q. Hou,#ffc0cb,1
Shijian Li,S. Li,#ffc0cb,1
Gang Pan,G. Pan,#32CD32,1
Zonghua Gu,Z. Gu,#00bfff,0
Xiaolin Zheng,X. Zheng,#32CD32,1
Deren Chen,D. Chen,#32CD32,1
Yang Xiang,Y. Xiang,#00bfff,0
Ling Chen,L. Chen,#32CD32,0
Zicheng Liao,Z. Liao,#32CD32,0
Yang 0009,Y. 0009,#32CD32,0
Weidong Geng,W. Geng,#32CD32,0
Qinming He,Q. He,#d3d3d3,1
Fangtian Ying,F. Ying,#ffc0cb,0
Min Tang,M. Tang,#ffc0cb,1
Ruofeng Tong,R. Tong,#ffc0cb,1
Hui Qian,H. Qian,#32CD32,1
Wenzhi Chen,W. Chen,#00bfff,0
Dawei Jiang,D. Jiang,#00bfff,1
